APT_CODE,APT_NAME,GOOGLE_NAME,RATING,NB_REVIEW
SGF,SPRINGFIELD-BRANSON NATIONAL AIRPORT,Springfield-Branson National Airport,4.4,2085
FAR,HECTOR INTERNATIONAL AIRPORT,Faro International Airport,3.8,12763
FKB,BADEN AIRPARK,Karlsruhe / Baden-Baden Airport,3.7,5287
YQT,THUNDER BAY INTERNATIONAL AIRPORT,Thunder Bay International Airport,4.1,577
GOJ,STRIGINO AIRPORT,Mezhdunarodnyy Aeroport Nizhny Novgorod Imeni V. P. Chkalova,4.4,3011
IEV,ZHULIANY INTERNATIONAL AIRPORT,Sikorsky International Airport Kyiv,4.4,8297
BLI,BELLINGHAM INTERNATIONAL AIRPORT,Bellingham International Airport,4.5,787
MJV,SAN JAVIER AIRPORT,Aeropuerto de Murcia-San Javier,4.0,298
SEN,SOUTHEND AIRPORT,London Southend Airport,3.7,1271
ILM,WILMINGTON INTERNATIONAL AIRPORT,Wilmington International Airport,4.4,1567
EYW,KEY WEST INTERNATIONAL AIRPORT,Key West International Airport,3.8,2104
CJS,ABRAHAM GONZALEZ INTERNATIONAL AIRPORT,Ciudad Juárez International Airport,4.1,6687
MFE,MILLER INTERNATIONAL AIRPORT,McAllen International Airport,4.4,1373
FMO,MUENSTER AIRPORT,Münster Osnabrück International Airport,4.3,2393
SBA,SANTA BARBARA MUNICIPAL AIRPORT,Santa Barbara Airport,4.6,1166
MLI,QUAD CITY INTERNATIONAL AIRPORT,Quad Cities International Airport,4.4,815
BTR,METROPOLITAN - RYAN AIRPORT,Baton Rouge Metropolitan Airport,4.3,939
AVL,ASHEVILLE REGIONAL AIRPORT,Asheville Regional Airport,3.9,2922
EUG,MAHLON SWEET FIELD AIRPORT,Eugene Airport,4.4,2154
YQM,GREATER MONCTON INTERNATIONAL AIRPORT,Greater Moncton Roméo LeBlanc International Airport,4.0,533
VPS,DESTIN-FT. WALTON BEACH AIRPORT,Destin-Fort Walton Beach Airport,4.0,2651
ALF,ALTA AIRPORT,Alta Airport,4.1,502
YKA,KAMLOOPS AIRPORT,Kamloops Airport (YKA),4.1,370
FWA,FORT WAYNE INTERNATIONAL AIRPORT,Fort Wayne International Airport,4.2,1533
MFR,ROGUE VALLEY INTERNATIONAL AIRPORT,Rogue Valley International Medford Airport,4.1,964
TLH,TALLAHASSEE INTERNATIONAL AIRPORT,Tallahassee International Airport,4.1,796
PGD,PUNTA GORDA AIRPORT,Punta Gorda Airport,4.3,3228
TGD,GOLUBOVCI AIRPORT,Podgorica Airport - Terminal,3.0,3372
CWL,CARDIFF AIRPORT,Cardiff Airport,4.0,1614
MLH,EUROAIRPORT FRENCH,EuroAirport Basel-Mulhouse-Freiburg,3.8,12836
CHA,CHATTANOOGA METROPOLITAN AIRPORT,Chattanooga Metropolitan Airport,4.4,2087
TIV,TIVAT AIRPORT,Tivat Airport,2.4,4225
INV,INVERNESS AIRPORT,Inverness Airport,4.1,1044
TTN,MERCER COUNTY AIRPORT,Trenton-Mercer Airport,3.9,1396
MSO,MISSOULA INTERNATIONAL AIRPORT,Missoula Montana Airport,4.3,1055
PIA,GENERAL DOWNING INTERNATIONAL AIRPORT,General Wayne A. Downing Peoria International Airport,4.4,879
ASE,PITKIN COUNTY AIRPORT,Aspen/Pitkin County Airport,4.0,453
ROA,ROANOKE REGIONAL AIRPORT (WOODRUM FIELD),Roanoke-Blacksburg Airport,4.2,1169
SBN,SOUTH BEND INTERNATIONAL AIRPORT,South Bend International Airport,4.3,1553
YXX,ABBOTSFORD INTERNATIONAL AIRPORT,Abbotsford International Airport,4.0,1656
SHV,SHREVEPORT REGIONAL AIRPORT,Shreveport Regional Airport,3.8,1136
GRB,AUSTIN-STRAUBEL INTERNATIONAL AIRPORT,Green Bay Austin Straubel International Airport,4.5,918
PSC,TRI-CITIES AIRPORT,Tri-Cities Airport,4.4,1086
MOL,ARO AIRPORT,Molde Airport,3.9,355
PUF,PYRENEES AIRPORT,Pau-Pyrenees Airport,4.1,558
MOB,MOBILE REGIONAL AIRPORT,Mobile Regional Airport,4.2,859
YXU,LONDON INTERNATIONAL AIRPORT,London International Airport,4.4,848
KKN,HOEYBUKTMOEN AIRPORT,Kirkenes Airport,4.0,376
LFT,LAFAYETTE REGIONAL AIRPORT,Lafayette Regional Airport,4.4,695
EXT,EXETER AIRPORT,Exeter Airport,4.0,831
YRT,RANKIN INLET AIRPORT,"Rankin Inlet Airport (CYRT, YRT)",3.6,84
RAP,RAPID CITY REGIONAL AIRPORT,Rapid City Regional Airport,4.3,1238
ABE,LEHIGH VALLEY INTERNATIONAL AIRPORT,Lehigh Valley International Airport,4.4,1758
REX,LUCIO BLANCO INTL AIRPORT,Aeropuerto Internacional de Reynosa,4.2,1748
YQQ,COMOX AIRPORT,Comox Valley Airport (YQQ),4.3,404
FSC,SUD CORSE AIRPORT,Figari-South Corsica Airport,3.2,1425
BIS,BISMARCK MUNICIPAL AIRPORT,Bismarck Airport,4.2,680
ATW,APPLETON INTERNATIONAL AIRPORT,Appleton International Airport,4.5,1363
DAB,DAYTONA BEACH INTERNATIONAL AIRPORT,Daytona Beach International Airport,4.7,1421
CHO,ALBEMARLE AIRPORT,Charlottesville–Albemarle Airport,4.1,760
CRW,YEAGER AIRPORT,West Virginia International Yeager Airport,4.5,851
RDM,ROBERTS FIELD AIRPORT,Redmond Municipal Airport,4.4,1021
GPT,GULFPORT/BILOXI INTERNATIONAL AIRPORT,Gulfport-Biloxi International Airport,4.4,1725
YFB,IQALUIT AIRPORT,Iqaluit International Airport (CYFB),4.3,257
DRO,LA PLATA COUNTY AIRPORT,Durango-La Plata County Airport,4.2,607
BOH,BOURNEMOUTH INTERNATIONAL AIRPORT,Bournemouth Airport,3.5,1691
YQU,GRANDE PRAIRIE AIRPORT,Grande Prairie Airport (CYQU),4.1,285
YYR,GOOSE BAY AIRPORT,Goose Bay Airport,4.2,121
GJT,GRAND JUNCTION REGIONAL AIRPORT,Grand Junction Regional Airport,4.3,867
VDS,VADSO AIRPORT,Vadsø Airport,3.8,79
YXS,PRINCE GEORGE AIRPORT,Prince George Airport,3.8,456
AGS,AUGUSTA REGIONAL (BUSH FIELD) AIRPORT,Southampton Airport,3.8,1197
HFT,HAMMERFEST AIRPORT,Hammerfest Airport,3.6,166
YZV,SEPT-ILES AIRPORT,Aéroport de Sept-Îles,3.8,98
PIK,PRESTWICK AIRPORT,Glasgow Prestwick Airport,3.8,669
BGR,BANGOR INTERNATIONAL AIRPORT,Bangor International Airport,4.4,1115
EVV,EVANSVILLE REGIONAL AIRPORT,Evansville Regional Airport,4.3,746
AVP,WILKES-BARRE INTERNATIONAL AIRPORT,Wilkes-Barre Scranton International Airport,4.4,942
YDF,DEER LAKE REGIONAL AIRPORT,Deer Lake Regional Airport,4.4,252
KSU,KVERNBERGET AIRPORT,"Kristiansund Airport, Kvernberget",3.8,309
FAY,REGIONAL (GRANNIS FIELD) AIRPORT,Fayetteville Regional Airport (FAY),3.6,1105
GNV,GAINESVILLE REGIONAL AIRPORT,Gainesville Regional Airport,4.3,1152
OME,NOME AIRPORT,Nome Airport,4.3,103
YWK,WABUSH AIRPORT,Wabush-Labrador Airport,4.0,97
AAR,AARHUS AIRPORT,Aarhus Airport,4.3,984
EGE,EAGLE COUNTY REGIONAL AIRPORT,Eagle County Regional Airport,4.3,407
PHF,NEWPORT NEWS/WILLIAMSBURG AIRPORT,Newport News/Williamsburg International Airport,4.4,554
MLN,MELILLA AIRPORT,Melilla Airport,3.7,693
YTS,VICTOR M. POWER AIRPORT,Timmins Victor M. Power Airport (YTS),4.0,159
OTZ,RALPH WIEN MEMORIAL AIRPORT,Ralph Wien Memorial Airport (OTZ),4.4,42
NWI,NORWICH INTERNATIONAL AIRPORT,Norwich Airport,3.3,803
YQG,WINDSOR AIRPORT,Windsor International Airport,4.1,414
YSB,SUDBURY AIRPORT,Greater Sudbury Airport,3.9,202
SBP,SAN LUIS COUNTY REGIONAL AIRPORT,SLO County Airport,4.4,802
RKV,REYKJAVIK DOMESTIC AIRPORT,Reykjavík Domestic Airport (RKV),4.0,695
YCD,NANAIMO AIRPORT,Nanaimo Airport,4.3,461
BRW,W.POST - W.ROGERS MEMORIAL AIRPORT,Wiley Post-Will Rogers Memorial Airport,4.2,113
CLY,SAINTE CATHERINE AIRPORT,Calvi Sainte-Catherine Airport,4.0,609
ELM,ELMIRA REGIONAL AIRPORT,Elmira Corning Regional Airport,4.1,411
BRO,SOUTH PADRE ISLAND INTERNATIONAL AIRPORT,Brownsville South Padre Island International Airport,4.2,781
LUG,AGNO AIRPORT,Lugano Airport,4.3,178
CIY,VINCENZO MAGLIOCCO AIRPORT,Comiso Airport,3.9,1294
OAJ,ALBERT J ELLIS AIRPORT,Albert J Ellis Airport,4.2,813
YAM,SAULT STE. MARIE AIRPORT,Sault Ste. Marie Airport,4.2,195
YVP,KUUJJUAQ AIRPORT,Kuujjuaq Airport (YVP),4.5,55
MKK,MOLOKAI AIRPORT,Molokai Airport,4.4,113
LDY,EGLINTON AIRPORT,City of Derry Airport,4.4,321
KLU,KLAGENFURT AIRPORT,Klagenfurt Airport,4.0,499
ACK,NANTUCKET MEMORIAL AIRPORT,Nantucket Memorial Airport-ACK,4.2,178
ADQ,KODIAK AIRPORT,Kodiak Benny Benson State Airport (ADQ),3.9,125
EAS,SAN SEBASTIAN AIRPORT,San Sebastian Airport,3.9,1184
SWF,STEWART INTERNATIONAL AIRPORT,New York Stewart International Airport,4.3,908
ANR,ANTWERP INTERNATIONAL AIRPORT,Antwerp International Airport,4.3,761
PBG,PLATTSBURGH INTERNATIONAL AIRPORT,Plattsburgh International Airport,4.1,264
YTH,THOMPSON AIRPORT,Thompson Regional Airport,3.7,69
NQY,CORNWALL AIRPORT,Cornwall Airport Newquay,4.2,649
ENA,KENAI MUNICIPAL AIRPORT,Kenai Municipal Airport,4.7,189
LSI,SUMBURGH AIRPORT,Sumburgh Airport,3.9,249
KOI,KIRKWALL AIRPORT,Kirkwall Airport,4.3,173
ITH,TOMPKINS REGIONAL AIRPORT,Ithaca Tompkins International Airport,4.2,300
BZR,BEZIERS VIAS AIRPORT,Béziers Cap d'Agde Airport,3.8,704
IAG,NIAGARA FALLS INTERNATIONAL AIRPORT,Niagara Falls International Airport,4.2,352
EWN,COASTAL CAROLINA REGIONAL AIRPORT,Coastal Carolina Regional Airport,4.4,546
LDE,TARBES OSSUN LOURDES AIRPORT,Tarbes–Lourdes–Pyrénées Airport,3.9,1118
KRP,KARUP AIRPORT,Midtjyllands Airport,4.3,162
BGM,GREATER BINGHAMTON AIRPORT,Greater Binghamton Airport,4.1,186
HUY,HUMBERSIDE AIRPORT,Humberside Airport,4.0,340
YUM,YUMA INTERNATIONAL AIRPORT,Yuma International Airport,4.4,588
FNI,GARONS AIRPORT,Aéroport de Nîmes Grande Provence Méditerranée,3.3,639
MME,TEES VALLEY AIRPORT,Teesside International Airport,4.1,679
SYY,STORNOWAY AIRPORT,Stornoway Airport,4.3,123
